Feature,Importance
time_step,0.06866461344073282
feature_88,0.023448732346989187
feature_87,0.020918203245904543
feature_52,0.020466862117981544
feature_53,0.01563610518834402
feature_143,0.015065901947284521
feature_91,0.013873654025496007
feature_81,0.013873654025496007
feature_86,0.012888139083882755
feature_137,0.012345331930611714
feature_92,0.012310415577100997
feature_69,0.012038303150779917
feature_20,0.011766949225995527
feature_149,0.011727827030262206
feature_44,0.010053845299481168
feature_156,0.009950248756218971
feature_155,0.009318939481878341
feature_74,0.009161326151832072
feature_104,0.009132378749262537
feature_63,0.008920809486402614
feature_165,0.008861296746956793
feature_153,0.008321425190567888
feature_80,0.008126599339003837
feature_164,0.0074827071884040475
feature_21,0.007285996196193856
feature_75,0.006911981920659449
feature_152,0.006875101156171071
feature_131,0.0059132906894101556
feature_26,0.005727131239794625
feature_109,0.005685856432125158
feature_103,0.005502538650751121
feature_62,0.005280151038037695
feature_40,0.0051949694626143295
feature_68,0.004710283170613172
feature_158,0.00440234031770026
feature_144,0.004310700644893695
feature_151,0.004310700644893695
feature_163,0.004264392324093813
feature_139,0.004185808933936719
feature_142,0.004046246842168255
feature_99,0.0037825400840831858
feature_46,0.0037825400840831858
feature_45,0.0037344914588745004
feature_2,0.003470666081180407
feature_141,0.003470666081180407
feature_85,0.0032573550757279968
feature_47,0.0032075864996069514
feature_84,0.0032075864996069514
feature_25,0.0027912201778959034
feature_19,0.002686689704188394
feature_157,0.002631819685166792
feature_108,0.002631819685166792
feature_118,0.002527047303166774
feature_136,0.002370110705552153
feature_122,0.0023170570152175607
feature_49,0.0023170570152175607
feature_111,0.0023170570152175607
feature_148,0.002312960383877516
feature_94,0.0022636259871138265
feature_159,0.0021091399741169914
feature_123,0.0020552379141598465
feature_119,0.002000953027072483
feature_32,0.002000953027072483
feature_55,0.001946281219906032
feature_100,0.0017941589377695744
feature_4,0.0017390252385489635
feature_16,0.0016834991286577283
feature_130,0.0016834991286577283
feature_154,0.001477839455092056
feature_93,0.001477839455092056
feature_150,0.001421464108031345
feature_98,0.0012173925281654396
feature_37,0.0011601729767466429
feature_34,0.0011601729767466429
feature_140,0.0011601729767466429
feature_14,0.0011601729767466429
feature_43,0.0011601729767466429
feature_124,0.0011025458786653175
feature_121,0.0011025458786653175
feature_125,0.0010445068642288557
feature_60,0.0010445068642288557
feature_17,0.0008678736786751351
feature_107,0.000841150880428243
feature_102,0.000841150880428243
feature_48,0.0007822618324712094
feature_117,0.0007822618324712094
feature_95,0.0007822618324712094
feature_105,0.0006398097471393971
feature_82,0.0005804984816178971
feature_83,0.0005804984816178971
feature_77,0.0005207644700842007
feature_59,0.0005207644700842007
feature_6,0.00026001158417376935
feature_5,0.00026001158417376935
feature_64,0.00026001158417376935
feature_126,0.00026001158417376935
feature_127,0.00019900497512437276
feature_66,0.00019900497512437276
feature_13,0.0
feature_36,0.0
feature_7,0.0
feature_15,0.0
feature_113,0.0
feature_35,0.0
feature_70,0.0
feature_106,0.0
feature_73,0.0
feature_38,0.0
feature_41,0.0
feature_132,-6.184686917964921e-05
feature_51,-0.0002592734391512197
feature_120,-0.00032195554583613895
feature_78,-0.00032195554583613895
feature_76,-0.00032195554583613895
feature_162,-0.00044866872850335415
feature_101,-0.0005178118720964298
feature_71,-0.0005813242262574514
feature_39,-0.0005813242262574514
feature_24,-0.0005813242262574514
feature_72,-0.0005813242262574514
feature_96,-0.0005813242262574514
feature_58,-0.0005813242262574514
feature_129,-0.0006452899162796566
feature_160,-0.0009047522797376306
feature_147,-0.0009047522797376306
feature_161,-0.0009700119878839342
feature_79,-0.0011634759603103006
feature_22,-0.0011634759603103006
feature_29,-0.0011634759603103006
feature_10,-0.0011634759603103006
feature_65,-0.001229566453447073
feature_11,-0.0012961307135597178
feature_50,-0.001421464108031234
feature_27,-0.001421464108031234
feature_135,-0.0014783626011195539
feature_42,-0.001488380392717481
feature_18,-0.0016236551233977936
feature_30,-0.0017464569703375954
feature_97,-0.0017464569703375954
feature_138,-0.0017464569703375954
feature_112,-0.0018146782680084073
feature_145,-0.0019352463157533695
feature_28,-0.0020728416650306336
feature_128,-0.0020728416650306336
feature_12,-0.0020728416650306336
feature_61,-0.0021423785696975672
feature_54,-0.002330269029559462
feature_133,-0.002330269029559462
feature_23,-0.002330269029559462
feature_89,-0.0026147539340791726
feature_31,-0.002914913916255313
feature_67,-0.0029874149042088405
feature_8,-0.0030604367325931525
feature_146,-0.003098166270946723
feature_1,-0.0033181091876138824
feature_116,-0.0036808651547457494
feature_110,-0.004010451049278219
feature_33,-0.004264392324093813
feature_9,-0.0044972183417886225
feature_114,-0.004927945162532366
feature_56,-0.005101319700200224
feature_90,-0.005168960392840982
feature_134,-0.005193349149624105
feature_115,-0.005261857481446253
feature_3,-0.0054985478380945585
feature_57,-0.007020744114313082
